"SiteNumber"	"Type"	"LocationID"	"EffectiveDate"	"Region"	"DistrictOffice"	"State"	"StateName"	"County"	"CountyState"	"City"	"FacilityName"	"Ownership"	"Use"	"Owner"	"OwnerAddress"	"OwnerCSZ"	"OwnerPhone"	"Manager"	"ManagerAddress"	"ManagerCSZ"	"ManagerPhone"	"ARPLatitude"	"ARPLatitudeS"	"ARPLongitude"	"ARPLongitudeS"	"ARPMethod"	"ARPElevation"	"ARPElevationMethod"	"MagneticVariation"	"MagneticVariationYear"	"TrafficPatternAltitude"	"ChartName"	"DistanceFromCBD"	"DirectionFromCBD"	"LandAreaCoveredByAirport"	"BoundaryARTCCID"	"BoundaryARTCCComputerID"	"BoundaryARTCCName"	"ResponsibleARTCCID"	"ResponsibleARTCCComputerID"	"ResponsibleARTCCName"	"TieInFSS"	"TieInFSSID"	"TieInFSSName"	"AirportToFSSPhoneNumber"	"TieInFSSTollFreeNumber"	"AlternateFSSID"	"AlternateFSSName"	"AlternateFSSTollFreeNumber"	"NOTAMFacilityID"	"NOTAMService"	"ActiviationDate"	"AirportStatusCode"	"CertificationTypeDate"	"FederalAgreements"	"AirspaceDetermination"	"CustomsAirportOfEntry"	"CustomsLandingRights"	"MilitaryJointUse"	"MilitaryLandingRights"	"InspectionMethod"	"InspectionGroup"	"LastInspectionDate"	"LastOwnerInformationDate"	"FuelTypes"	"AirframeRepair"	"PowerPlantRepair"	"BottledOxygenType"	"BulkOxygenType"	"LightingSchedule"	"BeaconSchedule"	"ATCT"	"UNICOMFrequencies"	"CTAFFrequency"	"SegmentedCircle"	"BeaconColor"	"NonCommercialLandingFee"	"MedicalUse"	"SingleEngineGA"	"MultiEngineGA"	"JetEngineGA"	"HelicoptersGA"	"GlidersOperational"	"MilitaryOperational"	"Ultralights"	"OperationsCommercial"	"OperationsCommuter"	"OperationsAirTaxi"	"OperationsGALocal"	"OperationsGAItin"	"OperationsMilitary"	"OperationsDate"	"AirportPositionSource"	"AirportPositionSourceDate"	"AirportElevationSource"	"AirportElevationSourceDate"	"ContractFuelAvailable"	"TransientStorage"	"OtherServices"	"WindIndicator"
02586.1*A	AIRPORT	'DRO	08/22/2013	ANM	DEN	CO	COLORADO	LA PLATA	CO	DURANGO	DURANGO-LA PLATA COUNTY	PU	PU	DURANGO CITY LA PLATA CO	1000 AIRPORT ROAD BOX 1	DURANGO, CO 81303	    970-382-6069	GARY SUITER	1000 AIRPORT ROAD BOX 1	DURANGO, CO 81303	    970-382-6069	37-09-05.4600N	133745.4600N	107-45-13.5690W	387913.5690W	E	6685	S	10E	2010		DENVER	10	SE	 1281	ZDV	ZCD	DENVER				N	DEN	DENVER		1-800-WX-BRIEF				DRO	Y	11/01/1946	O	I B S 05/1973	NGY	NO OBJECTION	N	N	N	Y	F	F	03132013		100LLA	MAJOR	MAJOR	LOW		SEE RMK	SS-SR	N	122.800	122.800	Y	CG	N		61	8	0	1	0			2248		6272	10000	10000	500	01/01/2012	NGS	1993-04-30 00:00:00.0	NGS	1993-04-30 00:00:00.0		HGR,TIE	AFRT,AMB,CHTR,SALES	Y-L
02588.*A	AIRPORT	'EGE	08/22/2013	ANM	DEN	CO	COLORADO	EAGLE	CO	EAGLE	EAGLE COUNTY RGNL	PU	PU	EAGLE COUNTY	BOX 850	EAGLE, CO 81631	    970-328-2680	GREG PHILLIPS	219 ELDON WILSON ROAD	GYPSUM, CO 81637	    970-328-2680	39-38-33.9000N	142713.9000N	106-54-57.4000W	384897.4000W	E	6547	S	13E	1980		DENVER	4	W	  632	ZDV	ZCD	DENVER				N	DEN	DENVER		1-800-WX-BRIEF				EGE	Y	07/01/1940	O	I C S 12/1986	NGZY	NO OBJECTION	N	N	N	Y	F	F	03282013		100LLA1   A1+	MAJOR	MAJOR	HIGH	HIGH	SEE RMK	SS-SR	Y		119.800	Y	CG	N		55	2	21	10	4	0	0	4089		7014	4896	15209	5193	01/01/2013	3RD PARTY SURVEY	2011-10-05 00:00:00.0	3RD PARTY SURVEY	2011-10-05 00:00:00.0		HGR,TIE	AFRT,AMB,CHTR,INSTR,RNTL,SALES	Y
02603.1*A	AIRPORT	'FNL	08/22/2013	ANM	DEN	CO	COLORADO	LARIMER	CO	FORT COLLINS/LOVELAND	FORT COLLINS-LOVELAND MUNI	PU	PU	FORT COLLINS & LOVELAND	4900 EARHART ROAD	LOVELAND, CO 80538	    970-962-2850	JASON LICON	4900 EARHART ROAD	LOVELAND, CO 80538	    970-962-2852	40-27-06.5780N	145626.5780N	105-00-40.8080W	378040.8080W	E	5016	S	09E	2010		CHEYENNE	9	SE	 1065	ZDV	ZCD	DENVER				N	DEN	DENVER		1-800-WX-BRIEF				FNL	Y		O	I B S 08/1993	NGY	NO OBJECTION	N	N	N	Y	S	F	06212012		100LLA	MAJOR	MAJOR	NONE	HIGH/LOW	SEE RMK	SS-SR	N	122.700	122.700	Y	CG	N		210	6	10	20	1		0	600		3500	40000	63000	200	12/31/2012	NGS		NGS	1991-08-08 00:00:00.0		HGR,TIE	CHTR,INSTR,RNTL,SALES,SURV	Y-L
02624.*A	AIRPORT	'GJT	08/22/2013	ANM	DEN	CO	COLORADO	MESA	CO	GRAND JUNCTION	GRAND JUNCTION REGIONAL	PU	PU	GRAND JUNCTION REG ARPT AUTH	2828 WALKER FLD DR SUITE 301	GRAND JUNCTION, CO 81506	    970-244-9100	REX TIPPETTS	2828 WALKER FLD RD SUITE 301	GRAND JUNCTION, CO 81506	    970-244-9100	39-07-20.6850N	140840.6850N	108-31-36.2450W	390696.2450W	E	4858	S	13E	1990		DENVER	3	NE	 2357	ZDV	ZCD	DENVER				N	DEN	DENVER		1-800-WX-BRIEF				GJT	Y	04/01/1940	O	I B S 05/1973	NGSY3	NO OBJECTION	N	N	N	Y	F	F	09122012		100LLA	MAJOR	MAJOR	NONE	HIGH	SEE RMK	SS-SR	Y	122.950	118.100	Y	CG	N		86	9	4	3				1416		15502	8789	21562	3718	01/01/2012	NGS	1993-06-18 00:00:00.0	NGS	1993-06-18 00:00:00.0		HGR,TIE	AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES	Y-L
02631.*A	AIRPORT	'GUC	08/22/2013	ANM	DEN	CO	COLORADO	GUNNISON	CO	GUNNISON	GUNNISON-CRESTED BUTTE RGNL	PU	PU	COUNTY OF GUNNISON	519 RIO GRANDE	GUNNISON, CO 81230	    970-641-2304	WALT CRANOR	519 RIO GRANDE	GUNNISON, CO 81230	    970-641-2304	38-32-02.2000N	138722.2000N	106-55-58.9000W	384958.9000W	E	7680	E	12E	1990		DENVER	1	SW	 1600	ZDV	ZCD	DENVER				N	DEN	DENVER		1-800-WX-BRIEF				GUC	Y	08/01/1947	O	I B S 05/1973	NGY	NO OBJECTION	N	N	N	Y	F	F	05202013		100LLA	MINOR	MINOR	HIGH/LOW	HIGH/LOW	SEE RMK	SEE RMK	N	122.700	122.700	Y	CG	N		21	4	0					272		326	527	4367	22	01/01/2013	NGS	2000-09-14 00:00:00.0	AVN	2008-10-14 00:00:00.0		HGR,TIE	AFRT,AMB,INSTR,SURV	Y-L
02635.7*A	AIRPORT	'HDN	08/22/2013	ANM	DEN	CO	COLORADO	ROUTT	CO	HAYDEN	YAMPA VALLEY	PU	PU	ROUTT COUNTY	PO BOX 773598	STEAMBOAT SPRNGS CO 804773598	    970-879-0108	DAVE RUPPEL	11005 RCR 51A, PO BOX 1060	HAYDEN, CO 81639	    970-276-5004	40-28-52.2000N	145732.2000N	107-13-03.6000W	385983.6000W	E	6606	S	10E	2010		CHEYENNE	2	SE	  671	ZDV	ZCD	DENVER				N	DEN	DENVER		1-800-WX-BRIEF				HDN	Y		O	I C S 05/1973	NGY	NO OBJECTION	N	N	N	Y	F	F	08012012		100LLA	NONE	NONE	HIGH/LOW		SEE RMK	SS-SR	N	123.000	123.000	Y	CG	Y		3	1	0		0			2723		2550	1244	3153	7	12/31/2011	NGS	2008-08-06 00:00:00.0	NGS	2008-08-06 00:00:00.0		HGR,TIE	AFRT,AMB	Y-L
02692.*A	AIRPORT	'MTJ	08/22/2013	ANM	DEN	CO	COLORADO	MONTROSE	CO	MONTROSE	MONTROSE RGNL	PU	PU	MONTROSE COUNTY	161 S. TOWNSEND	MONTROSE, CO 81401	    970-249-7755	LLOYD ARNOLD	2100 AIRPORT ROAD	MONTROSE, CO 81401	    970-249-3433	38-30-35.3000N	138635.3000N	107-53-39.3000W	388419.3000W	E	5759	S	12E	1995		DENVER	1	NW	  966	ZDV	ZCD	DENVER				N	DEN	DENVER		1-800-WX-BRIEF				MTJ	Y	09/01/1946	O	I B S 05/1973	NGY	NO OBJECTION	N	N	N	Y	F	F	05222013		100LLA+	MAJOR	MAJOR	HIGH	HIGH	SEE RMK	SS-SR	N	122.800	122.800	Y	CG	N		72	6	3	3	3		1	5200		10	9750	11250	250	01/01/2013	3RD PARTY SURVEY	2010-06-09 00:00:00.0	3RD PARTY SURVEY	2010-06-09 00:00:00.0		HGR,TIE	AMB,INSTR,RNTL	Y-L
02709.*A	AIRPORT	'PUB	08/22/2013	ANM	DEN	CO	COLORADO	PUEBLO	CO	PUEBLO	PUEBLO MEMORIAL	PU	PU	CITY OF PUEBLO	1 CITY HALL	PUEBLO, CO 81003	    719-553-2655	MARK LOVIN	31201 BRYAN CIRCLE	PUEBLO, CO 81001	    719-553-2760	38-17-23.8120N	137843.8120N	104-29-52.9021W	376192.9021W	E	4729	S	08E	2015		DENVER	5	E	 3872	ZDV	ZCD	DENVER				N	DEN	DENVER		1-800-WX-BRIEF				PUB	Y	02/01/1944	O	II A S 05/1973	NGPY	NO OBJECTION	N	N	N	Y	F	F	05082013		100LLA	MAJOR	MAJOR	HIGH		SEE RMK	SEE RMK	Y	122.950	119.100	Y	CG	N		101	11	7	0	1			29		5485	84912	71304	4146	01/01/2013	3RD PARTY SURVEY	2009-12-29 00:00:00.0	3RD PARTY SURVEY	2009-12-29 00:00:00.0		HGR,TIE	AGRI,AMB,CHTR,INSTR,RNTL,SALES,SURV	Y
02742.*A	AIRPORT	'TEX	08/22/2013	ANM	DEN	CO	COLORADO	SAN MIGUEL	CO	TELLURIDE	TELLURIDE RGNL	PU	PU	TELLURIDE REGIONAL ARPT AUTH	1500 LAST DALLAR RD. SUITE 1	TELLURIDE, CO 81435	    970-728-8600	RICHARD NUTTALL	1500 LAST DOLLAR RD. SUITE 1	TELLURIDE, CO 81435	    970-728-8600	37-57-13.7000N	136633.7000N	107-54-31.5000W	388471.5000W	E	9070	S	12E	2000	1414	DENVER	5	W	  542	ZDV	ZCD	DENVER				N	DEN	DENVER		1-800-WX-BRIEF				TEX	Y	03/01/1986	O	I B S 10/1992	N	CONDITIONAL					S	F	09272012		100LLA			HIGH/LOW	HIGH/LOW	SEE RMK	SS-SR	N	123.000	123.000	Y	CG	Y		27	4	3	0	4	0		0		1426	0	7740		12/31/2012	3RD PARTY SURVEY	2009-08-22 00:00:00.0	3RD PARTY SURVEY	2009-08-22 00:00:00.0		HGR,TIE	AFRT,CHTR,GLD	Y-L
51531.*A	AIRPORT	'GRO	08/22/2013	AWP	HNL	CQ	N MARIANA ISLANDS	N MARIANA ISLANDS	CQ	ROTA ISLAND	BENJAMIN TAISACAN MANGIONA INTL	PU	PU	COMMONWEALTH PORTS AUTH.	PO BOX 501055	SAIPAN, MP 96950-1055	    670-237-3500	THOMAS A. MANGLONA	PO BOX 561	ROTA, MP 96951	    670-532-9497	14-10-27.6787N	051027.6787N	145-14-28.0511E	522868.0511E	E	607	S	02E	1985		GNC 7	6	NE	  800	ZUA	ZUA	GUAM				N	HNL	HONOLULU		1-800-WX-BRIEF				PGRO	Y	06/01/1964	O	I A S 08/1980	NGY	NOT ANALYZED	N	Y	N	Y	F	F	04222013			NONE	NONE	NONE	NONE	SEE RMK	SS-SR	N		123.600	Y	CG	N									1011		244	781	5	87	03/31/2013	OWNER	2008-04-21 00:00:00.0	OWNER	2008-04-21 00:00:00.0			AFRT,CHTR	Y-L
51523.2*A	AIRPORT	'GSN	08/22/2013	AWP	HNL	CQ	N MARIANA ISLANDS	N MARIANA ISLANDS	CQ	SAIPAN ISLAND	FRANCISCO C. ADA/SAIPAN INTL	PU	PU	COMMONWEALTH PORTS AUTH	PO BOX 501055	SAIPAN, MP 96950-1055	 670-237-6500/01	EDWARD M. DELEON GUERRERO	PO BOX 501055	SAIPAN, MP 96950-1055	 670-237-6500/01	15-07-12.9180N	054432.9180N	145-43-47.9427E	524627.9427E	E	211	S	02E	1985		GNC 7	4	SW	  734	ZUA	ZUA	GUAM					HNL	HONOLULU		1-800-WX-BRIEF				GSN	Y		O	I D S 01/1978	NGY	NO OBJECTION	Y	N	N	Y	F	F	04242013		100  100LLA1+	NONE	NONE	NONE	NONE		SS-SR	Y			Y	CG	Y		8	4	0					4656		48800	96	10310	166	03/31/2013	FAA-EST	2010-12-03 00:00:00.0	3RD PARTY SURVEY	2010-01-26 00:00:00.0		TIE	AFRT,CARGO,CHTR	Y-L
51533.1*A	AIRPORT	'TNI	08/22/2013	AWP	HNL	CQ	N MARIANA ISLANDS	N MARIANA ISLANDS	CQ	TINIAN ISLAND	TINIAN INTL	PU	PU	COMMONWEALTH PORTS AUTHORITY	PO BOX 501055	SAIPAN, MP 96950-1055	    670-664-3500	JOSEPH MENDIOLA	PO BOX 501055	SAIPAN, MP 96950-1055	    670-433-9296	14-59-57.1300N	053997.1300N	145-37-09.6600E	524229.6600E	E	271	E	01E	2005		GNC 7	1	N	 1416	ZUA	ZUA	GUAM				N	HNL	HONOLULU		1-800-WX-BRIEF				HNL	Y	05/01/1973	O	I A S 07/1989	NGY	NOT ANALYZED			N	Y	F	F	04252013			NONE	NONE	NONE	NONE	SEE RMK	SS-SR	N		123.600	Y	CG	N		10	3						58		46206	1922	454	476	03/31/2013	ADO	2003-05-21 00:00:00.0	ADO	2003-05-21 00:00:00.0			CARGO,CHTR	Y
02785.*A	AIRPORT	'BDR	08/22/2013	ANE	NONE	CT	CONNECTICUT	FAIRFIELD	CT	BRIDGEPORT	IGOR I SIKORSKY MEMORIAL	PU	PU	CITY OF BRIDGEPORT	45 LYON TERRACE	BRIDGEPORT, CT 06615	    203-576-7201	JOHN RICCI	1000 GREAT MEADOW RD	STRATFORD, CT 06497	    203-576-8163	41-09-48.5000N	148188.5000N	073-07-34.2000W	263254.2000W	E	9	S	13W	1980		NEW YORK	3	SE	  800	ZBW	ZCB	BOSTON	ZNY	ZCN	NEW YORK	N	BDR	BRIDGEPORT		1-800-WX-BRIEF				BDR	Y	04/01/1940	O	IV A U 05/1973	NGSPY3	NOT ANALYZED	N	Y	N	Y	F	F	07082010		100LLA	MAJOR	MAJOR	HIGH/LOW			SEE RMK	Y	123.000	120.900	Y	CG	Y		139	15	33	3				0		2309	33829	31189	624	06/30/2010	NGS	2002-10-28 00:00:00.0	NGS	2002-10-28 00:00:00.0		HGR,TIE	AFRT,AMB,AVNCS,CHTR,INSTR,RNTL,SALES	Y-L
02823.*A	AIRPORT	'GON	08/22/2013	ANE	NONE	CT	CONNECTICUT	NEW LONDON	CT	GROTON (NEW LONDON)	GROTON-NEW LONDON	PU	PU	STATE OF CONNECTICUT DOT	P O BOX 317546	NEWINGTON, CT 06131-7546	    860-594-2556	CATHERINE YOUNG	155 TOWER AVE	GROTON, CT 06340	    860-445-8549	41-19-48.2000N	148788.2000N	072-02-42.5000W	259362.5000W	E	9	S	14W	1980		NEW YORK	3	SE	  489	ZBW	ZCB	BOSTON				N	BDR	BRIDGEPORT		1-800-WX-BRIEF				GON	Y	04/01/1940	O	IV A U 05/1984	NGPY3	NOT ANALYZED	N	Y	Y	Y	F	F	06062012		100LLA	MAJOR	MAJOR	HIGH/LOW	HIGH/LOW	SEE RMK	SS-SR	Y		125.600	Y	CG	Y		19	5	3	1	0	2	0	0		1337	11450	20084	3022	12/31/2011	3RD PARTY SURVEY	2010-04-25 00:00:00.0	3RD PARTY SURVEY	2010-04-25 00:00:00.0		TIE	AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL,SURV	Y-L
02858.*A	AIRPORT	'HVN	08/22/2013	ANE	NONE	CT	CONNECTICUT	NEW HAVEN	CT	NEW HAVEN	TWEED-NEW HAVEN	PU	PU	CITY OF NEW HAVEN	155 BURR STREET	NEW HAVEN, CT 06510	    203-466-8833	LORI HOFFMAN	155 BURR ST	NEW HAVEN, CT 06512	    203-466-8833	41-15-49.5000N	148549.5000N	072-53-12.5000W	262392.5000W	E	12	S	13W	1980		NEW YORK	3	SE	  394	ZBW	ZCB	BOSTON	ZNY	ZCN	NEW YORK	N	BDR	BRIDGEPORT		1-800-WX-BRIEF				HVN	Y	04/01/1940	O	I A S 05/1973	NGY3	NOT ANALYZED	N	Y	N	Y	F	F	04062012		100LLA	MAJOR	MAJOR	HIGH	HIGH	SEE RMK	SS-SR	Y	122.950	124.800	Y	CG	Y		34	5	2					3152		649	17487	19877	433	03/31/2012	3RD PARTY SURVEY	2008-08-16 00:00:00.0	3RD PARTY SURVEY	2008-08-16 00:00:00.0		HGR,TIE	CHTR,INSTR,RNTL,SALES	Y-L
02946.*A	AIRPORT	'BDL	08/22/2013	ANE	NONE	CT	CONNECTICUT	HARTFORD	CT	WINDSOR LOCKS	BRADLEY INTL	PU	PU	STATE OF CONNECTICUT	PO BOX 317546	NEWINGTON, CT 06131-7546	    860-594-2530	ERIC WALDRON, A.A.E. ACE	BRADLEY INTL AIRPORT	WINDSOR LOCKS, CT 06096	    860-292-2001	41-56-20.9224N	150980.9224N	072-41-00.1366W	261660.1366W	E	173	S	14W	1980	1700	NEW YORK	3	W	 2432	ZBW	ZCB	BOSTON				N	BDR	BRIDGEPORT		1-800-WX-BRIEF				BDL	Y	07/01/1942	O	I D S 05/1973	NGPY	NOT ANALYZED	N	Y	Y	Y	F	F	07212011		100LLA	MAJOR	MAJOR	HIGH/LOW	HIGH/LOW	SS-SR	SS-SR	Y	122.950		N	CG	N		1	7	29	2		17		56331		29412	3332	14815	3514	06/30/2011	FAA-EST	2011-12-16 00:00:00.0				HGR,TIE	AFRT,AVNCS,CARGO,CHTR,SALES	Y-L
03001.*A	AIRPORT	'DCA	08/22/2013	AEA	DCA	DC	DIST. OF COLUMBIA	ARLINGTON	VA	WASHINGTON	RONALD REAGAN WASHINGTON NATIONAL	PU	PU	METRO WASH ARPT AUTHORITY	1 AVIATION CIRCLE	WASHINGTON, DC 20001-6000	    703-417-8600	PAUL MALANDRINO, JR.	1 AVIATION CIRCLE	WASHINGTON, DC 20001-6000	    703-417-8050	38-51-06.8987N	139866.8987N	077-02-15.7162W	277335.7162W	E	14	S	09W	1985		WASHINGTON	3	S	  861	ZDC	ZCW	WASHINGTON				N	DCA	LEESBURG		1-800-WX-BRIEF				DCA	Y	03/01/1941	O	I C S 05/1973	NGXYH	NOT ANALYZED	N	Y	N	N	F	F	04092012		A	MINOR	MINOR	NONE	NONE		SS-SR	Y	122.950		N	CG	Y									194408		85920		5487	967	02/28/2012	FAA	2012-05-15 00:00:00.0	3RD PARTY SURVEY	2011-09-22 00:00:00.0		HGR,TIE	CARGO	Y-L
03002.*A	AIRPORT	'IAD	08/22/2013	AEA	DCA	DC	DIST. OF COLUMBIA	LOUDOUN	VA	WASHINGTON	WASHINGTON DULLES INTL	PU	PU	METRO WASH ARPT AUTHORITY	1 AVIATION CIRCLE	WASHINGTON, DC 20001-6000	    703-417-8600	CHRISTOPHER BROWNE	1 SAARINEN CIRCLE, SAARINEN CENTER MA-210	DULLES, VA 20166	    703-572-2730	38-56-50.8000N	140210.8000N	077-27-35.8000W	278855.8000W	E	312	S	10W	2000		WASHINGTON	20	W	13000	ZDC	ZCW	WASHINGTON				N	DCA	LEESBURG		1-800-WX-BRIEF				IAD	Y	11/01/1962	O	I E S 05/1973	NGHPY	NO OBJECTION	N	Y	N	Y	F	F	07292012		100LLA	MAJOR	MAJOR	HIGH	HIGH		SS-SR	Y	122.950		N	CG	Y		3	1	58	1				195607		139537	0	49238	648	05/31/2012	FAA	2012-02-22 00:00:00.0	3RD PARTY SURVEY	2010-10-22 00:00:00.0		HGR,TIE	AFRT,AVNCS,CARGO,SALES	Y-L
02999.*A	AIRPORT	'ILG	08/22/2013	AEA	HAR	DE	DELAWARE	NEW CASTLE	DE	WILMINGTON	NEW CASTLE	PU	PU	DELAWARE RIVER & BAY AUTHORITY	151 N. DUPONT HIGHWAY	NEW CASTLE, DE 19720-0071	    302-328-4632	STEPHEN D. WILLIAMS	151 N. DUPONT HIGHWAY	NEW CASTLE, DE 19720-0071	    302-328-4632	39-40-43.4000N	142843.4000N	075-36-23.9000W	272183.9000W	E	80	S	10W	1980		WASHINGTON	4	S	 1250	ZDC	ZCW	WASHINGTON	ZNY	ZCN	NEW YORK	N	MIV	MILLVILLE		1-800-WX-BRIEF				ILG	Y	05/01/1943	O	I B S 05/1973	NG3YPH	NO OBJECTION	N	Y	Y	Y	F	F	01242013		100LLA	MAJOR	MAJOR	HIGH/LOW	HIGH/LOW	SEE RMK	SS-SR	Y	122.950	126.000	N	CG	Y		113	27	61	4		20		30		3647	17165	26612	8628	10/31/2012	3RD PARTY SURVEY	2008-05-10 00:00:00.0	3RD PARTY SURVEY	2008-05-10 00:00:00.0		HGR,TIE	AMB,AVNCS,CARGO,INSTR,RNTL,SALES	Y-L
03147.*A	AIRPORT	'DAB	08/22/2013	ASO	ORL	FL	FLORIDA	VOLUSIA	FL	DAYTONA BEACH	DAYTONA BEACH INTL	PU	PU	VOLUSIA COUNTY	123 W INDIANA AVE	DELAND, FL 32720-4612	    386-248-8030	FREDERICK B. KARL	700 CATALINA DR, SUITE 300	DAYTONA BEACH, FL 32114	    386-248-8030	29-10-47.7000N	105047.7000N	081-03-29.0000W	291809.0000W	E	34	S	05W	2000		JACKSONVILLE	3	SW	 1800	ZJX	ZCJ	JACKSONVILLE				N	PIE	SAINT PETERSBURG		1-800-WX-BRIEF				DAB	Y	04/01/1940	O	I C S 05/1973	NGPRY3	NO OBJECTION	N	N	N	Y	F	F	03062013		100LLA	MAJOR	MAJOR	NONE	HIGH	SS-SR	SS-SR	Y	122.950		N	CG	N		169	44	26	1				5016		1676	81767	195870	1134	01/31/2013	3RD PARTY SURVEY	2012-12-28 00:00:00.0	3RD PARTY SURVEY	2012-12-28 00:00:00.0		HGR,TIE	AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL	Y-L
03192.*A	AIRPORT	'FLL	08/22/2013	ASO	ORL	FL	FLORIDA	BROWARD	FL	FORT LAUDERDALE	FORT LAUDERDALE/HOLLYWOOD INTL	PU	PU	BROWARD COUNTY	115 S. ANDREWS AVENUE, ROOM 421	DANIA BEACH, FL 33312-1872	    954-359-6100	KENT GEORGE	2200 SW 45TH STREET, SUITE 101	DANIA BEACH, FL 33312	    954-359-6100	26-04-21.3463N	093861.3463N	080-09-09.8692W	288549.8692W	E	9	S	06W	2015	1000	MIAMI	3	SW	 1380	ZMA	ZCR	MIAMI				N	MIA	MIAMI		1-800-WX-BRIEF				FLL	Y	04/01/1940	O	I D S 05/1973	NGPSY	NO OBJECTION	Y	N	N	Y	F	F	05312013		100LLA	MAJOR	MAJOR	HIGH/LOW	HIGH/LOW	SS-SR	SS-SR	Y	122.950		N	CG	N		8	17	43	3				193816		57012	0	35147	1244	04/30/2013	3RD PARTY SURVEY	2011-05-24 00:00:00.0	3RD PARTY SURVEY	2011-05-24 00:00:00.0		HGR,TIE	AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES,SURV	Y
03198.2*A	AIRPORT	'RSW	08/22/2013	ASO	ORL	FL	FLORIDA	LEE	FL	FORT MYERS	SOUTHWEST FLORIDA INTL	PU	PU	BOARD OF COM LEE CO PORT AUTH	PO BOX 398	FORT MYERS, FL 33902	    239-590-4800	ROBERT M. BALL	11000 TERMINAL ACCESS RD.	FORT MYERS, FL 33913	    239-590-4800	26-32-10.2000N	095530.2000N	081-45-18.6000W	294318.6000W	E	30	S	04W	2000		MIAMI	10	SE	13555	ZMA	ZCR	MIAMI					MIA	MIAMI		1-800-WX-BRIEF				RSW	Y	03/01/1983	O	I D S 05/1983	NGY	NO OBJECTION	N	Y		Y	F	F	04192013	06202002	100LLA	MAJOR	MAJOR	HIGH/LOW	HIGH/LOW	SEE RMK	SS-SR	Y	122.950	128.750	Y	CG	Y			2	3	0				62054		8585	0	8043	659	02/28/2013	NGS	1998-06-06 00:00:00.0	NGS	1998-06-06 00:00:00.0		HGR,TIE		Y-L
03210.*A	AIRPORT	'GNV	08/22/2013	ASO	ORL	FL	FLORIDA	ALACHUA	FL	GAINESVILLE	GAINESVILLE RGNL	PU	PU	GAINESVILLE-ALACHUA CO AUTH	3880 NE 39TH AVE	GAINESVILLE, FL 32609	    352-373-0249	ALLAN PENKSA	3880 NE 39 AVE STE A	GAINESVILLE, FL 32609	    352-373-0249	29-41-24.2000N	106884.2000N	082-16-18.4000W	296178.4000W	E	151	S	04W	2005		JACKSONVILLE	3	NE	 1650	ZJX	ZCJ	JACKSONVILLE				N	GNV	GAINESVILLE		1-800-WX-BRIEF				GNV	Y	04/01/1940	O	I A S 05/1973	NGPY3	NO OBJECTION	N	N	N	Y	F	F	01172013		100  A	MAJOR	MAJOR	HIGH	HIGH	SEE RMK	SS-SR	Y	122.950	119.550	Y	CG	N		100	13	26	7				107		10857	15168	32231	8047	12/31/2012	NGS	2008-01-29 00:00:00.0	NGS	2008-01-29 00:00:00.0		HGR,TIE	CARGO,INSTR,RNTL,SALES	Y-L
03250.1*A	AIRPORT	'JAX	08/22/2013	ASO	ORL	FL	FLORIDA	DUVAL	FL	JACKSONVILLE	JACKSONVILLE INTL	PU	PU	JACKSONVILLE INTL AIRPORT	14201 PECAN PARK ROAD	JACKSONVILLE, FL 32218	    904-741-2000	MR. CHRISTOPHER I. STYLES	14201 PECAN PARK ROAD	JACKSONVILLE, FL 32218	    904-741-2015	30-29-38.6000N	109778.6000N	081-41-16.2000W	294076.2000W	E	29	S	06W	2010		JACKSONVILLE	9	N	 7911	ZJX	ZCJ	JACKSONVILLE				N	GNV	GAINESVILLE		1-800-WX-BRIEF				JAX	Y	11/01/1968	O	I D S 05/1973	NGY	NO OBJECTION	N	Y	Y	Y	F	F	07172012		100LLA	MAJOR	MAJOR	HIGH/LOW	HIGH/LOW	SS-SR	SS-SR	Y	122.950		Y	CG	N		6	7	25			20		56417		16518	903	11949	6475	06/30/2012	3RD PARTY SURVEY	2012-08-25 00:00:00.0	3RD PARTY SURVEY	2012-08-25 00:00:00.0		HGR,TIE	AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES,SURV	Y-L
03263.*A	AIRPORT	'EYW	08/22/2013	ASO	ORL	FL	FLORIDA	MONROE	FL	KEY WEST	KEY WEST INTL	PU	PU	MONROE COUNTY	3491 S ROOSEVELT BLVD	KEY WEST, FL 33040-5260	    305-809-5200	PETER HORTON	3491 S ROOSEVELT BLVD	KEY WEST, FL 33040-5260	    305-809-5200	24-33-22.0000N	088402.0000N	081-45-34.4000W	294334.4000W	E	3	S	04W	2000		MIAMI	2	E	  334	ZMA	ZCR	MIAMI				N	MIA	MIAMI		1-800-WX-BRIEF				EYW	Y	04/01/1940	O	I B S 12/1978	NGSY	NO OBJECTION	Y	N	N	Y	F	F	06272013		100  A	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	Y	122.950	118.200	Y	CG	N		39	21	0	1				7925		12904	8657	32876	396	12/31/2012	NGS	1999-03-24 00:00:00.0	NGS	1999-03-24 00:00:00.0		TIE	AMB,CHTR,INSTR,RNTL,SALES	Y-L
